Gene	Description	Ranks	Rank/Score
EPHA2		0.31	0.31
UST		0.31	0.31
AGMAT		0.31	0.31
NDUFA8		0.31	0.31
NDUFA1		0.31	0.31
OGG1		0.31	0.31
AASS		0.31	0.31
TIMMDC1		0.31	0.31
MPC2		0.3	0.3
SLC25A4		0.3	0.3
ACOT9		0.3	0.3
COX17		0.3	0.3
SGMS2		0.3	0.3
TPST2		0.3	0.3
CHCHD4		0.3	0.3
SLC44A4		0.3	0.3
ECI2		0.3	0.3
RPE		0.3	0.3
ABHD6		0.3	0.3
GALM		0.29	0.29
PIGW		0.29	0.29
CYP2R1		0.29	0.29
LTA4H		0.29	0.29
SLC2A4		0.29	0.29
MGST3		0.29	0.29
PGP		0.29	0.29
EFL1		0.29	0.29
HADH		0.29	0.29
FECH		0.29	0.29
ERH		0.28	0.28
CBS		0.28	0.28
EXTL2		0.28	0.28
ACMSD		0.28	0.28
NDUFB2		0.28	0.28
NDUFS3		0.28	0.28
PM20D2		0.28	0.28
BHMT2		0.28	0.28
ATP5PO		0.28	0.28
GPX4		0.28	0.28
HIBCH		0.28	0.28
GPAT4		0.28	0.28
MTHFD1L		0.28	0.28
SLC25A17		0.28	0.28
SLC2A8		0.27	0.27
AIG1		0.27	0.27
ATP5MG		0.27	0.27
NDUFA3		0.27	0.27
FLAD1		0.27	0.27
TFAP2B		0.27	0.27
UAP1L1		0.27	0.27
PMM2		0.26	0.26
RPIA		0.26	0.26
LYRM7		0.26	0.26
DHFR		0.26	0.26
SAMM50		0.26	0.26
KYAT3		0.26	0.26
PHKG2		0.26	0.26
ADCY4		0.26	0.26
BCS1L		0.26	0.26
GCDH		0.25	0.25
ENTPD5		0.25	0.25
NAGPA		0.25	0.25
ALDH4A1		0.25	0.25
CYP27A1		0.25	0.25
PTDSS1		0.25	0.25
ENTPD4		0.25	0.25
PPARA		0.25	0.25
ENOPH1		0.25	0.25
CYP27C1		0.25	0.25
NDUFB5		0.25	0.25
P4HB		0.24	0.24
NDUFC2		0.24	0.24
NDUFB1		0.24	0.24
CPT1C		0.24	0.24
MT-ND5		0.24	0.24
SDHAF2		0.24	0.24
NDUFB3		0.24	0.24
TAMM41		0.24	0.24
BLMH		0.24	0.24
MTMR2		0.24	0.24
ABCC10		0.24	0.24
HMGCL		0.24	0.24
ME2		0.23	0.23
ADCY6		0.23	0.23
NADK		0.23	0.23
SEPHS2		0.23	0.23
FAH		0.23	0.23
NDST3		0.23	0.23
BCAT2		0.23	0.23
PKLR		0.23	0.23
SDHA		0.23	0.23
PGGHG		0.23	0.23
SCO1		0.23	0.23
MPST		0.23	0.23
MPI		0.23	0.23
MT-ATP8		0.23	0.22
PITPNM1		0.22	0.22
NDUFAF7		0.22	0.22
UQCRB		0.22	0.22
ABHD10		0.22	0.22
PITPNM2		0.22	0.22
NUP35		0.22	0.22
HKDC1		0.22	0.22
DUT		0.22	0.22
OARD1		0.22	0.22
NAAA		0.22	0.22
PRTFDC1		0.21	0.21
FOXRED1		0.21	0.21
ECI1		0.21	0.21
ENPP3		0.21	0.21
CLN3		0.21	0.21
RPEL1		0.21	0.21
ATIC		0.21	0.21
RHOQ		0.21	0.21
RIDA		0.21	0.21
COQ2		0.21	0.21
NDUFAB1		0.21	0.21
SHPK		0.21	0.21
PGAM4		0.21	0.21
DGKA		0.2	0.2
SLC35A1		0.2	0.2
REXO2		0.2	0.2
SLC16A9		0.2	0.2
HDHD5		0.2	0.2
PI4K2B		0.2	0.2
AFG1L		0.2	0.2
PEX13		0.2	0.2
PPP2R1B		0.2	0.2
NUP155		0.2	0.2
GYG2		0.2	0.2
IYD		0.2	0.2
UMPS		0.2	0.2
GNPAT		0.2	0.2
NIT2		0.2	0.2
SLC25A44		0.19	0.19
RFK		0.19	0.19
DBT		0.19	0.19
OXSM		0.19	0.19
TECR		0.19	0.19
LDHB		0.19	0.19
PPA2		0.19	0.19
PRPSAP1		0.19	0.19
SDHD		0.19	0.19
MTRR		0.19	0.19
ENPP1		0.19	0.19
FDX1		0.19	0.19
PSPH		0.19	0.19
LDHD		0.18	0.18
MCCC1		0.18	0.18
SUCLA2		0.18	0.18
LIPT2		0.18	0.18
COX15		0.18	0.18
HNF4A		0.18	0.18
UQCR11		0.18	0.18
AADAT		0.18	0.18
NUDT2		0.18	0.18
COA6		0.18	0.18
PMM1		0.18	0.18
SLC27A5		0.18	0.18
ASL		0.18	0.18
CTH		0.17	0.17
TTC19		0.17	0.17
AGPAT5		0.17	0.17
PRPSAP2		0.17	0.17
MCCC2		0.17	0.17
AMACR		0.17	0.17
MFN1		0.17	0.17
SLC19A1		0.17	0.17
KARS1		0.17	0.17
GPD2		0.17	0.17
TMEM126A		0.17	0.17
SLC25A51		0.16	0.16
CRLS1		0.16	0.16
DMAC2		0.16	0.16
CSGALNACT2		0.16	0.16
UAP1		0.16	0.16
NUP42		0.16	0.16
COX18		0.16	0.16
AKR7A2		0.16	0.16
IDH3B		0.16	0.16
HPRT1		0.16	0.16
ENTPD2		0.15	0.15
GK		0.15	0.15
NDUFAF8		0.15	0.15
CYP39A1		0.15	0.15
PARP16		0.15	0.15
COASY		0.15	0.15
UQCR10		0.15	0.15
PPT2		0.15	0.15
AFMID		0.15	0.15
SDHAF4		0.15	0.15
FUCA2		0.15	0.15
ACO2		0.15	0.15
ASNS		0.15	0.14
NAMPT		0.14	0.14
CYP2D6		0.14	0.14
ECSIT		0.14	0.14
MTHFD2		0.14	0.14
DDAH2		0.14	0.14
ACOT11		0.14	0.14
AGPAT1		0.14	0.14
G6PD		0.14	0.14
NANS		0.14	0.14
ECHS1		0.14	0.14
AZIN1		0.13	0.13
PPT1		0.13	0.13
GAL3ST4		0.13	0.13
FIG4		0.13	0.13
POMK		0.13	0.13
MSRA		0.13	0.13
NME4		0.13	0.13
AAAS		0.13	0.13
PARK7		0.13	0.13
FHIT		0.13	0.13
PCYT2		0.13	0.13
CRMP1		0.13	0.13
MTAP		0.13	0.13
NUDT19		0.13	0.13
NDUFB6		0.13	0.13
VCP		0.12	0.12
PEX2		0.12	0.12
EXT1		0.12	0.12
MT-ND4L		0.12	0.12
CYP2U1		0.12	0.12
NUDT17		0.12	0.12
NADSYN1		0.12	0.12
DPM2		0.12	0.12
MPC1		0.12	0.12
UCP3		0.12	0.12
ATP5ME		0.12	0.12
SAMD8		0.11	0.11
NDUFA5		0.11	0.11
COQ3		0.11	0.11
ADPGK		0.11	0.11
GLUD1		0.11	0.11
TMEM126B		0.11	0.11
SAMHD1		0.11	0.11
ETFRF1		0.11	0.11
PIP5K1B		0.11	0.11
NUP133		0.11	0.11
PPIP5K2		0.11	0.11
PGM2		0.11	0.11
MOCS1		0.11	0.11
NEIL1		0.11	0.11
NUDT12		0.11	0.11
COX16		0.1	0.1
CYB561		0.1	0.1
SACM1L		0.1	0.1
FUT2		0.1	0.1
SLC35A3		0.1	0.1
IMPA1		0.1	0.1
AK6		0.1	0.1
C2ORF69		0.1	0.1
CYP2B6		0.1	0.1
SLC30A5		0.1	0.1
DIP2A		0.1	0.1
DOLPP1		0.1	0.1
COX8A		0.1	0.1
IP6K3		0.1	0.1
ADCY1		0.1	0.1
SURF1		0.1	0.1
TEFM		0.1	0.1
SGPL1		0.1	0.1
PDP2		0.1	0.1
NUDT15		0.1	0.1
HAAO		0.09	0.09
GGT6		0.09	0.09
PAPSS1		0.09	0.09
PFKM		0.09	0.09
DGLUCY		0.09	0.09
UCK1		0.09	0.09
SGMS1		0.09	0.09
LEPR		0.09	0.09
GDE1		0.09	0.09
CYP46A1		0.09	0.09
ACACB		0.09	0.09
THTPA		0.08	0.08
RANBP2		0.08	0.08
HS2ST1		0.08	0.08
NEU1		0.08	0.08
ADHFE1		0.08	0.08
PIGZ		0.08	0.08
NDUFV1		0.08	0.08
ATP5MF		0.08	0.08
ADAL		0.08	0.08
ACSL5		0.08	0.08
BCO2		0.08	0.08
SLC22A13		0.08	0.08
DERA		0.07	0.07
ALDH6A1		0.07	0.07
PIGN		0.07	0.07
PPAT		0.07	0.07
CISH		0.07	0.07
IPMK		0.07	0.07
DHDDS		0.07	0.07
PIGF		0.07	0.07
SLC25A42		0.07	0.07
MT-RNR1		0.07	0.07
NDUFA4		0.07	0.07
IDH3G		0.07	0.07
MTMR6		0.07	0.07
MYH3		0.07	0.07
MANBA		0.07	0.07
SMG1		0.07	0.07
KCNJ11		0.07	0.07
GLYATL1		0.06	0.06
GSTZ1		0.06	0.06
DPYSL4		0.06	0.06
TYMP		0.06	0.06
GHR		0.06	0.06
CTPS2		0.06	0.06
SOCS4		0.06	0.06
ACAD10		0.06	0.06
MTARC2		0.06	0.06
MACROD1		0.06	0.06
SMPD2		0.06	0.06
GPAT3		0.06	0.06
SMUG1		0.06	0.06
ELOVL2		0.06	0.06
PTEN		0.06	0.06
NUP62		0.06	0.06
GDPD3		0.06	0.06
IVD		0.06	0.06
SLC25A11		0.06	0.06
NAXE		0.06	0.06
ADSL		0.05	0.05
ACOT4		0.05	0.05
ETFB		0.05	0.05
DHODH		0.05	0.05
RBKS		0.05	0.05
CES2		0.05	0.05
SMPD3		0.05	0.05
SRR		0.05	0.05
ADCY9		0.05	0.05
IPPK		0.05	0.05
DCXR		0.05	0.05
MCEE		0.05	0.05
ACAA2		0.05	0.05
HSD3B7		0.05	0.05
GALNT3		0.05	0.05
ETFDH		0.05	0.05
SLC25A10		0.05	0.05
TST		0.05	0.05
PRXL2B		0.04	0.04
SLC25A14		0.04	0.04
SLC25A12		0.04	0.04
MPDU1		0.04	0.04
PAICS		0.04	0.04
TALDO1		0.04	0.04
NDUFAF6		0.04	0.04
NUDT13		0.04	0.04
NUDT8		0.04	0.04
NUS1		0.04	0.04
NDUFA13		0.04	0.04
NAGA		0.04	0.04
ACOT7		0.04	0.04
DAGLA		0.04	0.04
PIGL		0.04	0.04
KMO		0.04	0.04
LIPT1		0.04	0.04
DOLK		0.04	0.04
EFR3B		0.03	0.03
PGAP2		0.03	0.03
NDUFA9		0.03	0.03
PI4KB		0.03	0.03
ELOVL1		0.03	0.03
MTHFD2L		0.03	0.03
PET100		0.03	0.03
BCKDHB		0.03	0.03
TMEM223		0.03	0.03
CROT		0.03	0.03
PDE9A		0.03	0.03
ODC1		0.03	0.03
SIRT4		0.03	0.03
PGAP3		0.03	0.03
COX20		0.03	0.03
GNPDA1		0.03	0.03
GAMT		0.03	0.03
PTGR2		0.02	0.02
GCLM		0.02	0.02
ABHD5		0.02	0.02
FUT6		0.02	0.02
ATP5F1E		0.02	0.02
ACSM2B		0.02	0.02
PAPSS2		0.02	0.02
HYKK		0.02	0.02
PPP1R2		0.02	0.02
VAC14		0.02	0.02
CYP2D7		0.02	0.02
SPHK2		0.02	0.02
COX14		0.02	0.02
CBR4		0.02	0.02
ACAD11		0.01	0.01
HSPA1B		0.01	0.01
ACOT1		0.01	0.01
ACP6		0.01	0.01
PDP1		0.01	0.01
NDUFB10		0.01	0.01
ATP5F1EP2		0.01	0.01
SDHB		0.01	0.01
MVK		0.01	0.01
GDPGP1		0.01	0.01
NOXRED1		0.01	0.01
PIK3CA		0.01	0.01
OXA1L		0.01	0.01
ENOSF1		0.01	0.01
SLC27A6		0.01	0.01
RIMKLB		0.01	0.01
HACD1		0.01	0.01
SLC25A16		0.01	0.01
ADCY3		0.01	0.01
OSBPL7		0.01	0.01
ST8SIA2		0.01	0.01
NDUFA12		0	0
SIAE		0	0
AMDHD2		0	0
MGAM		0	0
GSTM4		0	0
LIPG		0	0
MFN2		0	0
ST8SIA1		0	0
HSD17B8		-0	-0
GALT		-0	-0
APIP		-0.01	-0.01
ETNK2		-0.01	-0.01
PIK3C2A		-0.01	-0.01
CYP2C8		-0.01	-0.01
FUT4		-0.01	-0.01
ADK		-0.01	-0.01
SLC2A3		-0.01	-0.01
DNPH1		-0.01	-0.01
PDHB		-0.01	-0.01
PPCDC		-0.01	-0.01
GUCY1A1		-0.01	-0.01
NUDT10		-0.01	-0.01
INPP5E		-0.01	-0.01
CHKB		-0.01	-0.01
MTLN		-0.01	-0.01
PLBD2		-0.01	-0.01
AZIN2		-0.01	-0.01
GRHPR		-0.01	-0.01
PIK3R3		-0.01	-0.01
ATP5MC2		-0.01	-0.01
NADK2		-0.02	-0.02
ITPKC		-0.02	-0.02
GBE1		-0.02	-0.02
PYCR2		-0.02	-0.02
FUOM		-0.02	-0.02
ASAH2		-0.02	-0.02
ME3		-0.02	-0.02
EGLN2		-0.02	-0.02
ENO4		-0.02	-0.02
MTMR14		-0.02	-0.02
NDUFA10		-0.02	-0.02
GLUD2		-0.02	-0.02
PIPSL		-0.02	-0.02
CTNS		-0.02	-0.02
THAP4		-0.02	-0.02
AMDHD1		-0.02	-0.02
PLD2		-0.02	-0.02
OAS1		-0.02	-0.02
ELOVL6		-0.02	-0.02
NR1D1		-0.02	-0.02
OLA1		-0.02	-0.02
GSK3B		-0.03	-0.03
NPC1		-0.03	-0.03
PLAA		-0.03	-0.03
PIGB		-0.03	-0.03
CHST14		-0.03	-0.03
SEPHS1		-0.03	-0.03
SARDH		-0.03	-0.03
SLC23A1		-0.03	-0.03
UCKL1		-0.03	-0.03
ALDH1B1		-0.03	-0.03
POMC		-0.03	-0.03
PER2		-0.03	-0.03
OCRL		-0.04	-0.04
QDPR		-0.04	-0.04
ST8SIA4		-0.04	-0.04
PGS1		-0.04	-0.04
DGAT2		-0.04	-0.04
GCSH		-0.04	-0.04
MCAT		-0.04	-0.04
FITM2		-0.04	-0.04
ADCY2		-0.04	-0.04
XYLB		-0.04	-0.04
PFAS		-0.04	-0.04
FUCA1		-0.04	-0.04
FUT9		-0.04	-0.04
DSEL		-0.04	-0.04
MAN1B1		-0.04	-0.04
NUP88		-0.04	-0.04
PYCR3		-0.04	-0.04
DGUOK		-0.05	-0.05
PIGU		-0.05	-0.05
ST6GALNAC4		-0.05	-0.05
NAGS		-0.05	-0.05
NHLRC1		-0.05	-0.05
PLA2G15		-0.05	-0.05
ACADSB		-0.05	-0.05
CHCHD5		-0.05	-0.05
AUH		-0.05	-0.05
MDH1B		-0.05	-0.05
PIGO		-0.05	-0.05
PI4K2A		-0.05	-0.05
MTFR1L		-0.05	-0.05
NUDT7		-0.05	-0.05
IDI1		-0.05	-0.05
DCAKD		-0.06	-0.06
PLBD1		-0.06	-0.06
ENO3		-0.06	-0.06
NDUFB8		-0.06	-0.06
ACBD5		-0.06	-0.06
SMPD4		-0.06	-0.06
PIK3C3		-0.06	-0.06
PGAM1		-0.06	-0.06
NAPRT		-0.06	-0.06
DECR2		-0.06	-0.06
MECR		-0.06	-0.06
ACP3		-0.06	-0.06
PITPNM3		-0.06	-0.06
NT5M		-0.06	-0.06
INPP5J		-0.06	-0.06
PIGV		-0.06	-0.06
PTPMT1		-0.07	-0.06
BRAF		-0.07	-0.07
PPP2CB		-0.07	-0.07
SLC35A2		-0.07	-0.07
NEU4		-0.07	-0.07
PDK1		-0.07	-0.07
HOGA1		-0.07	-0.07
TMEM150A		-0.07	-0.07
PIP5KL1		-0.07	-0.07
BECN1		-0.07	-0.07
HACD4		-0.07	-0.07
LCLAT1		-0.07	-0.07
CYP3A5		-0.07	-0.07
CPA1		-0.07	-0.07
PNPLA8		-0.08	-0.08
PIGM		-0.08	-0.08
ME1		-0.08	-0.08
NDUFA2		-0.08	-0.08
CHCHD7		-0.08	-0.08
GYG1		-0.08	-0.08
GGT1		-0.08	-0.08
NT5C2		-0.08	-0.08
GUCY1B1		-0.08	-0.08
UXS1		-0.08	-0.08
COA8		-0.08	-0.08
PFKL		-0.08	-0.08
ST6GAL2		-0.08	-0.08
FASTKD3		-0.08	-0.08
NT5C		-0.08	-0.08
ACSF3		-0.08	-0.08
PPP2CA		-0.08	-0.08
HNMT		-0.08	-0.08
PDXK		-0.09	-0.09
APRT		-0.09	-0.09
SIRT3		-0.09	-0.09
PYGL		-0.09	-0.09
UQCC3		-0.09	-0.09
CSAD		-0.09	-0.09
PDK4		-0.09	-0.09
BSG		-0.09	-0.09
N6AMT1		-0.09	-0.09
SLC25A21		-0.09	-0.09
ADIPOR1		-0.09	-0.09
ACSL1		-0.09	-0.09
ABHD14B		-0.09	-0.09
HECTD4		-0.09	-0.09
GLDC		-0.09	-0.09
SLC16A3		-0.09	-0.09
FGGY		-0.09	-0.09
CHST12		-0.09	-0.09
THEM4		-0.09	-0.09
SMS		-0.1	-0.1
GNPDA2		-0.1	-0.1
NMNAT2		-0.1	-0.1
POM121		-0.1	-0.1
NTHL1		-0.1	-0.1
ABCC1		-0.1	-0.1
SULT1A2		-0.1	-0.1
GNE		-0.1	-0.1
NOX4		-0.1	-0.1
GGT7		-0.1	-0.1
PPIP5K1		-0.1	-0.1
PEMT		-0.1	-0.1
B3GALT4		-0.11	-0.11
COQ10B		-0.11	-0.11
SARM1		-0.11	-0.11
ABHD16A		-0.11	-0.11
EFR3A		-0.11	-0.11
PIPOX		-0.11	-0.11
MSMO1		-0.11	-0.11
